"Kalenderwoche";"Seife";"Toilettenpapier";"Mehl";"Desinfektionsmittel";"Hefe"
"2019/32";96,5;97;71,5;105,1;84,3
"2019/33";94,7;98,6;83,8;100,4;94,1
"2019/34";114,4;89,9;72,3;96,1;90,4
"2019/35";95,1;98,7;75,5;101,1;86,9
"2019/36";93,7;98,6;99,9;126;95,7
"2019/37";103,7;95,9;79,6;96;92,2
"2019/38";82,1;94,2;77,6;88,2;86,6
"2019/39";96,8;107;110,2;93,6;95,9
"2019/40";108,5;101;96,9;100,1;105,8
"2019/41";94;91,3;84,7;90,1;90,6
"2019/42";84,7;89,9;83;91,1;91,1
"2019/43";83,7;89,6;103,9;87,2;91
"2019/44";126,8;115,2;107;94;113,3
"2019/45";114,3;106,3;119;91,4;105
"2019/46";97,4;98,7;107,8;88,4;109,5
"2019/47";93,9;93,3;123,9;88,2;108,9
"2019/48";121,2;100,6;161,8;96,8;108,6
"2019/49";102,1;104,1;136,5;93,1;103,2
"2019/50";102,1;102,7;129;95,3;103,5
"2019/51";106,8;128,9;151,9;114,3;147,9
"2019/52";89;97,1;92,1;86;118,2
"2020/01";88,6;116,1;90,1;101,1;127,2
"2020/02";121,2;101;76,7;96,3;83,2
"2020/03";81,7;89,9;78,3;90,3;85,6
"2020/04";84,3;89,5;99,8;99,6;87
"2020/05";122,5;104,7;87,3;190;94,3
"2020/06";95,8;97,3;81;161,4;88,8
"2020/07";85,7;87,6;82,2;137;89,3
"2020/08";86,5;98,6;84,6;126,6;100,4
"2020/09";222,4;155,9;250,2;758,7;196,5
"2020/10";252,7;198,8;199,3;850,5;150,7
"2020/11";335;230,7;292,4;306,2;231,7
"2020/12";436,6;310,8;205,3;50,7;151,5
"2020/13";232,7;145,9;239,4;264,7;63,5
"2020/14";229,5;71,1;157,4;375,5;127,7
"2020/15";111,6;35,8;156,4;163,4;138,7
"2020/16";109,5;35,3;91,2;171;138,7
"2020/17";127;92,5;116;198,8;129,6
"2020/18";124,3;100,8;114,2;73,4;110,1
"2020/19";125,1;80,6;100;156,6;155,1
"2020/20";137,9;71,9;86,2;252,1;152,3
"2020/21";118,8;71,1;80,9;248,2;118,5
"2020/22";127,6;90,6;86;187,3;129,4
"2020/23";111,3;81,4;68,5;103,6;110,1
"2020/24";118,9;86,8;68,5;180,5;141,5
"2020/25";120,7;96,5;71,5;194,6;126,6
"2020/26";115,6;87,4;64,5;167,8;89,5
"2020/27";118,6;97,6;73,7;196,1;94,8
"2020/28";115,9;94,3;73,7;172;95,5
"2020/29";121,6;98,2;71,8;153,5;95,1
"2020/30";108,7;99,4;66,5;136,4;97,9
"2020/31";120,4;109,3;73,3;146,4;109,5
"2020/32";119,8;110,3;66,2;126,7;96
"2020/33";144,1;102,9;62,3;146,5;96,6
"2020/34";125;104,5;69,5;142,2;103,6
"2020/35";118,4;107;82,4;127,5;117,7
"2020/36";117,2;158,6;118,4;108,4;116,2
"2020/37";124,3;92,7;78;110,2;105,9
"2020/38";157,9;100,8;75,1;114,8;99
"2020/39";131;111,1;102,2;133,1;107,8
"2020/40";113,5;96,3;89,5;121,3;107,7
"2020/41";129,6;121,4;99;152,5;115,2
"2020/42";162,3;189,8;128,4;172,5;134,8
"2020/43";155,5;238,9;163;193,7;166,6
"2020/44";151;184,2;200,6;203,6;173,7